Instance_Name_Alias,Instance_Name,Instance_Memory_GiB,Number_vCPUs,Instance_Storage_Type_and_Capacity,Network_Performance,On_Demand_hourly_price,Linux_Reserved_Cost_1_Year_Hourly,Linux_Spot_Minimum_Cost_Hourly
P5 48xlarge,p5.48xlarge,2048.0,192,30400 GB (8 * 3800 GB NVMe SSD),3200 Gigabit,98.32,0.0,72.917
P4D Highest Performance GPU 24xlarge,p4d.24xlarge,1152.0,96,8000 GB (8 * 1000 GB NVMe SSD),4x 100 Gigabit,32.7726,20.1755,10.4015
T4G Nano,t4g.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0042,0.0026,0.003
T3A Nano,t3a.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0047,0.0029,0.0021
T3 Nano,t3.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0052,0.0033,0.0021
T2 Nano,t2.nano,0.5,1,EBS only,Low to Moderate,0.0058,0.0036,0.0
T4G Micro,t4g.micro,1.0,2,EBS only,Up to 5 Gigabit,0.0084,0.0053,0.0039
T3A Micro,t3a.micro,1.0,2,EBS only,Up to 5 Gigabit,0.0094,0.0059,0.0042
T3 Micro,t3.micro,1.0,2,EBS only,Up to 5 Gigabit,0.0104,0.0065,0.0043
T2 Micro,t2.micro,1.0,1,EBS only,Low to Moderate,0.0116,0.0072,0.0041
T4G Small,t4g.small,2.0,2,EBS only,Up to 5 Gigabit,0.0168,0.0105,0.0075
T3A Small,t3a.small,2.0,2,EBS only,Up to 5 Gigabit,0.0188,0.0118,0.0085
T1 Micro,t1.micro,0.613,1,EBS only,Very Low,0.02,0.014,0.008
T3 Small,t3.small,2.0,2,EBS only,Up to 5 Gigabit,0.0208,0.013,0.0079
T2 Small,t2.small,2.0,1,EBS only,Low to Moderate,0.023,0.0144,0.0096
A1 Medium,a1.medium,2.0,1,EBS only,Up to 10 Gigabit,0.0255,0.0161,0.0108
T4G Medium,t4g.medium,4.0,2,EBS only,Up to 5 Gigabit,0.0336,0.0211,0.0153
C6G Medium,c6g.medium,2.0,1,EBS only,Up to 10 Gigabit,0.034,0.0214,0.0153
C7G Medium,c7g.medium,2.0,1,EBS only,Up to 12.5 Gigabit,0.0363,0.0239,0.0168
T3A Medium,t3a.medium,4.0,2,EBS only,Up to 5 Gigabit,0.0376,0.0236,0.0154
C6GD Medium,c6gd.medium,2.0,1,59 GB NVMe SSD,Up to 10 Gigabit,0.0384,0.0242,0.0182
M6G Medium,m6g.medium,4.0,1,EBS only,Up to 10 Gigabit,0.0385,0.0241,0.0176
M7G Medium,m7g.medium,4.0,1,EBS only,Up to 12.5 Gigabit,0.0408,0.027,0.0175
T3 Medium,t3.medium,4.0,2,EBS only,Up to 5 Gigabit,0.0416,0.0261,0.0175
C6GN Medium,c6gn.medium,2.0,1,EBS only,Up to 16 Gigabit,0.0432,0.0273,0.018
M1 General Purpose Small,m1.small,1.7,1,160 GB HDD,Low,0.044,0.028,0.0174
M6GD Medium,m6gd.medium,4.0,1,59 GB NVMe SSD,Up to 10 Gigabit,0.0452,0.0285,0.0191
C7GD Medium,c7gd.medium,2.0,1,59 GB NVMe SSD,Up to 12.5 Gigabit,0.0454,0.0286,0.0185
T2 Medium,t2.medium,4.0,2,EBS only,Low to Moderate,0.0464,0.0287,0.0191
R6G Medium,r6g.medium,8.0,1,EBS only,Up to 10 Gigabit,0.0504,0.0318,0.0203
A1 Large,a1.large,4.0,2,EBS only,Up to 10 Gigabit,0.051,0.0321,0.0244
C7A Medium,c7a.medium,2.0,1,EBS only,Up to 12.5 Gigabit,0.0513,0.034,0.0201
M7GD Medium,m7gd.medium,4.0,1,59 GB NVMe SSD,Up to 12.5 Gigabit,0.0534,0.0336,0.0207
R7G Medium,r7g.medium,8.0,1,EBS only,Up to 12.5 Gigabit,0.0536,0.0354,0.0205
R6GD Medium,r6gd.medium,8.0,1,59 GB NVMe SSD,Up to 10 Gigabit,0.0576,0.0363,0.0316
M7A Medium,m7a.medium,4.0,1,EBS only,Up to 12.5 Gigabit,0.058,0.0383,0.0221
C7GN Medium,c7gn.medium,2.0,1,EBS only,Up to 25 Gigabit,0.0624,0.0393,0.0238
M3 General Purpose Medium,m3.medium,3.75,1,4 GB SSD,Moderate,0.067,0.048,0.025
T4G Large,t4g.large,8.0,2,EBS only,Up to 5 Gigabit,0.0672,0.0421,0.0313
R7GD Medium,r7gd.medium,8.0,1,59 GB NVMe SSD,Up to 12.5 Gigabit,0.068,0.0428,0.0333
C6G Large,c6g.large,4.0,2,EBS only,Up to 10 Gigabit,0.068,0.0428,0.0303
C7G Large,c7g.large,4.0,2,EBS only,Up to 12.5 Gigabit,0.0725,0.0478,0.033
T3A Large,t3a.large,8.0,2,EBS only,Up to 5 Gigabit,0.0752,0.0471,0.0303
R7A Medium,r7a.medium,8.0,1,EBS only,Up to 12.5 Gigabit,0.0761,0.0503,0.031
C6A Large,c6a.large,4.0,2,EBS only,Up to 12.5 Gigabit,0.0765,0.0506,0.036
C6GD Large,c6gd.large,4.0,2,118 GB NVMe SSD,Up to 10 Gigabit,0.0768,0.0484,0.0343
M6G Large,m6g.large,8.0,2,EBS only,Up to 10 Gigabit,0.077,0.0483,0.0335
C5A Large,c5a.large,4.0,2,EBS only,Up to 10 Gigabit,0.077,0.049,0.0364
M7G Large,m7g.large,8.0,2,EBS only,Up to 12.5 Gigabit,0.0816,0.054,0.0362
T3 Large,t3.large,8.0,2,EBS only,Up to 5 Gigabit,0.0832,0.0522,0.0393
X2GD Medium,x2gd.medium,16.0,1,59 GB NVMe SSD,Up to 10 Gigabit,0.0835,0.0515,0.0303
C5 High-CPU Large,c5.large,4.0,2,EBS only,Up to 10 Gigabit,0.085,0.054,0.0405
C6I Large,c6i.large,4.0,2,EBS only,Up to 12.5 Gigabit,0.085,0.0562,0.0363
M5A Large,m5a.large,8.0,2,EBS only,Up to 10 Gigabit,0.086,0.054,0.0403
C5AD Large,c5ad.large,4.0,2,75 GB NVMe SSD,Up to 10 Gigabit,0.086,0.054,0.0379
